ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Quantity;Short description;Description;URL rewritten;Image URLs (x,y,z...);Meta title;Meta description
1;1;Amber Drop Necklace;Necklaces;49.90;1;100;Elegant handmade necklace with warm amber-toned pendant and fine gold-colored chain. Designed for everyday wear and gift occasions.;Elegant handmade necklace with warm amber-toned pendant and fine gold-colored chain. Designed for everyday wear and gift occasions.;amber-drop-necklace;assets/product-images/amber-drop-necklace.svg;Amber Drop Necklace;Elegant handmade necklace with warm amber-toned pendant and fine gold-colored chain. Designed for everyday wear and gift occasions.
2;1;Minimalist Silver Necklace;Necklaces;39.90;1;100;Clean and modern necklace crafted for minimalist styling. Lightweight, versatile and easy to pair with casual or formal outfits.;Clean and modern necklace crafted for minimalist styling. Lightweight, versatile and easy to pair with casual or formal outfits.;minimalist-silver-necklace;assets/product-images/minimalist-silver-necklace.svg;Minimalist Silver Necklace;Clean and modern necklace crafted for minimalist styling. Lightweight, versatile and easy to pair with casual or formal outfits.
3;1;Rose Quartz Pendant;Necklaces;44.50;1;100;Soft pink rose quartz pendant necklace with delicate metallic finish. Created for customers seeking a subtle romantic accent.;Soft pink rose quartz pendant necklace with delicate metallic finish. Created for customers seeking a subtle romantic accent.;rose-quartz-pendant;assets/product-images/rose-quartz-pendant.svg;Rose Quartz Pendant;Soft pink rose quartz pendant necklace with delicate metallic finish. Created for customers seeking a subtle romantic accent.
4;1;Forest Leaf Necklace;Necklaces;42.90;1;100;Nature-inspired necklace featuring leaf-shaped centerpiece and organic textures. Suitable for handcrafted boutique collections.;Nature-inspired necklace featuring leaf-shaped centerpiece and organic textures. Suitable for handcrafted boutique collections.;forest-leaf-necklace;assets/product-images/forest-leaf-necklace.svg;Forest Leaf Necklace;Nature-inspired necklace featuring leaf-shaped centerpiece and organic textures. Suitable for handcrafted boutique collections.
5;1;Pearl Line Necklace;Necklaces;54.90;1;100;Refined necklace with pearl-inspired composition arranged in a balanced linear design. Works well for festive and premium catalog sections.;Refined necklace with pearl-inspired composition arranged in a balanced linear design. Works well for festive and premium catalog sections.;pearl-line-necklace;assets/product-images/pearl-line-necklace.svg;Pearl Line Necklace;Refined necklace with pearl-inspired composition arranged in a balanced linear design. Works well for festive and premium catalog sections.
6;1;Braided Leather Bracelet;Bracelets;29.90;1;100;Hand-braided bracelet with comfortable fit and artisanal look. A simple bestseller-style item for everyday accessory collections.;Hand-braided bracelet with comfortable fit and artisanal look. A simple bestseller-style item for everyday accessory collections.;braided-leather-bracelet;assets/product-images/braided-leather-bracelet.svg;Braided Leather Bracelet;Hand-braided bracelet with comfortable fit and artisanal look. A simple bestseller-style item for everyday accessory collections.
7;1;Baltic Amber Bracelet;Bracelets;36.50;1;100;Bracelet combining amber-inspired elements with warm earthy tones. Suitable for natural and artisan-focused brand identity.;Bracelet combining amber-inspired elements with warm earthy tones. Suitable for natural and artisan-focused brand identity.;baltic-amber-bracelet;assets/product-images/baltic-amber-bracelet.svg;Baltic Amber Bracelet;Bracelet combining amber-inspired elements with warm earthy tones. Suitable for natural and artisan-focused brand identity.
8;1;Silver Charm Bracelet;Bracelets;41.90;1;100;Classic bracelet featuring small decorative charms and polished finish. Built as a flexible mid-price product for broad customer appeal.;Classic bracelet featuring small decorative charms and polished finish. Built as a flexible mid-price product for broad customer appeal.;silver-charm-bracelet;assets/product-images/silver-charm-bracelet.svg;Silver Charm Bracelet;Classic bracelet featuring small decorative charms and polished finish. Built as a flexible mid-price product for broad customer appeal.
9;1;Green Stone Bracelet;Bracelets;33.90;1;100;Bracelet with green stone effect and balanced handmade composition. Adds variety to the catalog through color and material contrast.;Bracelet with green stone effect and balanced handmade composition. Adds variety to the catalog through color and material contrast.;green-stone-bracelet;assets/product-images/green-stone-bracelet.svg;Green Stone Bracelet;Bracelet with green stone effect and balanced handmade composition. Adds variety to the catalog through color and material contrast.
10;1;Adjustable Boho Bracelet;Bracelets;27.90;1;100;Bohemian-style adjustable bracelet with relaxed handcrafted appearance. Easy-size design reduces purchase friction for customers.;Bohemian-style adjustable bracelet with relaxed handcrafted appearance. Easy-size design reduces purchase friction for customers.;adjustable-boho-bracelet;assets/product-images/adjustable-boho-bracelet.svg;Adjustable Boho Bracelet;Bohemian-style adjustable bracelet with relaxed handcrafted appearance. Easy-size design reduces purchase friction for customers.
